invoice_amount,days_until_due,previous_avg_delay,previous_late_payments,customer_invoice_count,customer_tenure_months,is_disputed,delay_days,source,is_delayed,risk_category
13872.48,10,1.0,1,1,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
937.68,15,-0.32979591836734695,420,1225,24.0,0,3.0,B2B_Invoices_DS1,1,LOW
1170.27,15,-2.3662456946039034,500,9581,24.0,0,-5.0,B2B_Invoices_DS1,0,LOW
23976.32,15,-2.3662456946039034,500,9581,24.0,0,-4.0,B2B_Invoices_DS1,0,LOW
18828.87,15,1.1271186440677967,40,118,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
720.78,15,-2.3662456946039034,500,9581,24.0,0,-2.0,B2B_Invoices_DS1,0,LOW
13091.11,15,-0.5316582914572864,224,995,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
100.0,23,-4.163522012578617,67,318,24.0,0,-8.0,B2B_Invoices_DS1,0,LOW
19665.2,15,-0.32979591836734695,420,1225,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
67034.28,10,4.284507042253521,269,355,24.0,0,4.0,B2B_Invoices_DS1,1,LOW
13112.14,15,-2.3662456946039034,500,9581,24.0,0,-2.0,B2B_Invoices_DS1,0,LOW
19997.78,15,1.49009900990099,259,404,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
124047.42,45,0.9772727272727273,500,1144,24.0,0,-9.0,B2B_Invoices_DS1,0,LOW
99386.3,15,-4.989510489510489,57,286,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
2211.63,15,1.3306451612903225,500,1612,24.0,0,3.0,B2B_Invoices_DS1,1,LOW
2588.65,65,0.9435483870967742,104,248,24.0,0,2.0,B2B_Invoices_DS1,1,LOW
99608.36,15,1.7009472259810554,473,739,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
16982.59,15,-2.3662456946039034,500,9581,24.0,0,-2.0,B2B_Invoices_DS1,0,LOW
1721.07,20,0.6153846153846154,41,143,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
13533.21,15,2.319623971797885,500,851,24.0,0,2.0,B2B_Invoices_DS1,1,LOW
3225.75,15,-2.3662456946039034,500,9581,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
1172.53,90,-1.125,0,8,24.0,0,-1.0,B2B_Invoices_DS1,0,LOW
32944.47,15,-0.5316582914572864,224,995,24.0,0,-1.0,B2B_Invoices_DS1,0,LOW
11443.14,15,-3.064245810055866,73,358,24.0,0,-1.0,B2B_Invoices_DS1,0,LOW
4884.0,10,5.25,4,4,24.0,0,5.0,B2B_Invoices_DS1,1,LOW
38182.86,15,-0.4845814977973568,85,227,24.0,0,4.0,B2B_Invoices_DS1,1,LOW
24960.0,30,1.5,7,12,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
17710.21,15,1.8759124087591241,113,137,24.0,0,4.0,B2B_Invoices_DS1,1,LOW
7790.06,15,-1.9603729603729603,195,429,24.0,0,18.0,B2B_Invoices_DS1,1,HIGH
48577.93,15,0.9435483870967742,104,248,24.0,0,2.0,B2B_Invoices_DS1,1,LOW
316.8,15,-2.3662456946039034,500,9581,24.0,0,-2.0,B2B_Invoices_DS1,0,LOW
1867.12,7,-4.709677419354839,46,279,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
1715.7,65,-0.5316582914572864,224,995,24.0,0,-15.0,B2B_Invoices_DS1,0,LOW
31309.71,15,1.368421052631579,126,171,24.0,0,5.0,B2B_Invoices_DS1,1,LOW
94490.93,34,-6.369784172661871,74,695,24.0,0,-15.0,B2B_Invoices_DS1,0,LOW
6663.09,15,-2.3662456946039034,500,9581,24.0,0,-3.0,B2B_Invoices_DS1,0,LOW
16245.14,35,7.002252252252252,319,444,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
46665.92,15,2.319623971797885,500,851,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
20463.04,15,2.319623971797885,500,851,24.0,0,4.0,B2B_Invoices_DS1,1,LOW
26097.25,15,0.9772727272727273,500,1144,24.0,0,3.0,B2B_Invoices_DS1,1,LOW
19190.96,15,1.633879781420765,113,183,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
7642.71,10,-4.476439790575916,36,191,24.0,0,-1.0,B2B_Invoices_DS1,0,LOW
22759.63,15,0.2564102564102564,11,39,24.0,0,-2.0,B2B_Invoices_DS1,0,LOW
1683.46,15,-6.369784172661871,74,695,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
320.06,10,-4.419354838709677,68,372,24.0,0,-1.0,B2B_Invoices_DS1,0,LOW
33523.0,10,4.205882352941177,131,170,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
7040.6,15,-2.3662456946039034,500,9581,24.0,0,2.0,B2B_Invoices_DS1,1,LOW
45235.58,15,-0.7714285714285715,13,35,24.0,0,2.0,B2B_Invoices_DS1,1,LOW
13873.43,15,0.9772727272727273,500,1144,24.0,0,3.0,B2B_Invoices_DS1,1,LOW
61001.54,15,1.7009472259810554,473,739,24.0,0,3.0,B2B_Invoices_DS1,1,LOW
17479.1,15,-2.3662456946039034,500,9581,24.0,0,-5.0,B2B_Invoices_DS1,0,LOW
28649.56,15,-2.3662456946039034,500,9581,24.0,0,-4.0,B2B_Invoices_DS1,0,LOW
46474.49,15,1.49009900990099,259,404,24.0,0,4.0,B2B_Invoices_DS1,1,LOW
14516.79,15,0.9772727272727273,500,1144,24.0,0,3.0,B2B_Invoices_DS1,1,LOW
16101.13,15,-2.3662456946039034,500,9581,24.0,0,-5.0,B2B_Invoices_DS1,0,LOW
15258.5,15,0.5,16,56,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
69527.13,15,-2.3662456946039034,500,9581,24.0,0,-5.0,B2B_Invoices_DS1,0,LOW
15026.34,10,1.1071428571428572,15,28,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
83081.83,15,1.3306451612903225,500,1612,24.0,0,3.0,B2B_Invoices_DS1,1,LOW
100.0,10,0.25806451612903225,8,31,24.0,0,6.0,B2B_Invoices_DS1,1,MEDIUM
20557.14,15,-0.5316582914572864,224,995,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
37071.97,15,2.319623971797885,500,851,24.0,0,10.0,B2B_Invoices_DS1,1,MEDIUM
13683.15,15,-2.3662456946039034,500,9581,24.0,0,-5.0,B2B_Invoices_DS1,0,LOW
9481.83,15,1.368421052631579,126,171,24.0,0,3.0,B2B_Invoices_DS1,1,LOW
344.27,15,1.3306451612903225,500,1612,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
2254.37,15,1.7009472259810554,473,739,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
820.4,15,1.3306451612903225,500,1612,24.0,0,5.0,B2B_Invoices_DS1,1,LOW
17231.53,15,1.3738601823708207,208,329,24.0,0,18.0,B2B_Invoices_DS1,1,HIGH
1591.96,15,-0.4845814977973568,85,227,24.0,0,6.0,B2B_Invoices_DS1,1,MEDIUM
38899.31,15,0.9772727272727273,500,1144,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
4819.24,23,-4.347972972972973,50,296,24.0,0,-6.0,B2B_Invoices_DS1,0,LOW
95073.2,15,1.569023569023569,185,297,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
13859.37,20,2.8181818181818183,33,33,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
20857.19,7,-4.347972972972973,50,296,24.0,0,2.0,B2B_Invoices_DS1,1,LOW
13768.73,15,0.9772727272727273,500,1144,24.0,0,4.0,B2B_Invoices_DS1,1,LOW
82605.09,15,0.9772727272727273,500,1144,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
6377.39,45,25.714285714285715,19,21,24.0,0,-15.0,B2B_Invoices_DS1,0,LOW
42383.25,10,-2.103448275862069,5,29,24.0,0,5.0,B2B_Invoices_DS1,1,LOW
1735.16,15,-2.3662456946039034,500,9581,24.0,0,3.0,B2B_Invoices_DS1,1,LOW
475.69,15,4.456140350877193,34,57,24.0,0,2.0,B2B_Invoices_DS1,1,LOW
58990.76,15,1.7009472259810554,473,739,24.0,0,3.0,B2B_Invoices_DS1,1,LOW
12591.43,15,-2.3662456946039034,500,9581,24.0,0,2.0,B2B_Invoices_DS1,1,LOW
48398.85,15,-2.3662456946039034,500,9581,24.0,0,-4.0,B2B_Invoices_DS1,0,LOW
14752.57,15,-2.3662456946039034,500,9581,24.0,0,-4.0,B2B_Invoices_DS1,0,LOW
8972.99,40,24.22222222222222,8,9,24.0,0,117.0,B2B_Invoices_DS1,1,CRITICAL
1686.74,15,0.5423076923076923,33,260,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
22096.07,15,-2.3662456946039034,500,9581,24.0,0,-5.0,B2B_Invoices_DS1,0,LOW
14278.48,45,25.714285714285715,19,21,24.0,0,72.0,B2B_Invoices_DS1,1,CRITICAL
7000.45,15,-2.3662456946039034,500,9581,24.0,0,-4.0,B2B_Invoices_DS1,0,LOW
48806.26,34,-6.369784172661871,74,695,24.0,0,-15.0,B2B_Invoices_DS1,0,LOW
29929.01,15,-2.483271375464684,98,269,24.0,0,25.0,B2B_Invoices_DS1,1,HIGH
6681.26,15,-0.5316582914572864,224,995,24.0,0,3.0,B2B_Invoices_DS1,1,LOW
19170.69,15,3.4347826086956523,65,115,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
98321.98,15,-0.5316582914572864,224,995,24.0,0,-1.0,B2B_Invoices_DS1,0,LOW
89474.22,15,1.6071428571428572,13,28,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
1244.9,15,-2.3662456946039034,500,9581,24.0,0,-4.0,B2B_Invoices_DS1,0,LOW
19496.39,15,0.872093023255814,33,86,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
136.08,15,1.569023569023569,185,297,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
20367.5,10,-4.428571428571429,0,7,24.0,0,-3.0,B2B_Invoices_DS1,0,LOW
100.0,10,3.3125,78,96,24.0,0,3.0,B2B_Invoices_DS1,1,LOW
24643.72,60,-0.5,3,4,24.0,0,11.0,B2B_Invoices_DS1,1,MEDIUM
20557.14,15,-0.5316582914572864,224,995,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
9536.62,10,9.598152424942263,433,433,24.0,0,8.0,B2B_Invoices_DS1,1,MEDIUM
8301.45,15,0.43859649122807015,17,57,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
15823.03,15,-2.3662456946039034,500,9581,24.0,0,-4.0,B2B_Invoices_DS1,0,LOW
134457.26,15,0.3392857142857143,22,56,24.0,0,-1.0,B2B_Invoices_DS1,0,LOW
3476.52,15,-1.9603729603729603,195,429,24.0,0,2.0,B2B_Invoices_DS1,1,LOW
495.86,15,-1.4545454545454546,4,11,24.0,0,6.0,B2B_Invoices_DS1,1,MEDIUM
642.24,15,-1.9603729603729603,195,429,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
16907.57,15,-2.3662456946039034,500,9581,24.0,0,-4.0,B2B_Invoices_DS1,0,LOW
51147.1,15,1.3738601823708207,208,329,24.0,0,-1.0,B2B_Invoices_DS1,0,LOW
6733.93,23,-4.163522012578617,67,318,24.0,0,-7.0,B2B_Invoices_DS1,0,LOW
44952.8,15,-2.3662456946039034,500,9581,24.0,0,-4.0,B2B_Invoices_DS1,0,LOW
100.0,23,-4.163522012578617,67,318,24.0,0,-7.0,B2B_Invoices_DS1,0,LOW
72721.08,65,-1.9603729603729603,195,429,24.0,0,-15.0,B2B_Invoices_DS1,0,LOW
54073.74,15,1.4121405750798721,225,313,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
3329.23,15,2.230769230769231,28,52,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
2416.07,15,-2.3662456946039034,500,9581,24.0,0,2.0,B2B_Invoices_DS1,1,LOW
3703.19,15,-2.3662456946039034,500,9581,24.0,0,-5.0,B2B_Invoices_DS1,0,LOW
39293.61,15,-2.3662456946039034,500,9581,24.0,0,-5.0,B2B_Invoices_DS1,0,LOW
56042.28,10,1.3590361445783132,209,415,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
26666.4,15,-2.3662456946039034,500,9581,24.0,0,-3.0,B2B_Invoices_DS1,0,LOW
24209.83,20,2.0065359477124183,113,153,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
11523.97,15,0.5,16,56,24.0,0,2.0,B2B_Invoices_DS1,1,LOW
92913.93,10,4.284507042253521,269,355,24.0,0,5.0,B2B_Invoices_DS1,1,LOW
7884.97,15,-0.5316582914572864,224,995,24.0,0,-1.0,B2B_Invoices_DS1,0,LOW
30162.79,15,-2.3662456946039034,500,9581,24.0,0,-4.0,B2B_Invoices_DS1,0,LOW
2155.28,10,3.3125,78,96,24.0,0,-3.0,B2B_Invoices_DS1,0,LOW
20217.6,15,0.7954545454545454,65,88,24.0,0,-3.0,B2B_Invoices_DS1,0,LOW
23150.75,15,-0.8461538461538461,12,52,24.0,0,4.0,B2B_Invoices_DS1,1,LOW
43371.16,15,-2.3662456946039034,500,9581,24.0,0,-4.0,B2B_Invoices_DS1,0,LOW
17336.04,16,5.166666666666667,6,12,24.0,0,13.0,B2B_Invoices_DS1,1,MEDIUM
53750.69,15,-2.3662456946039034,500,9581,24.0,0,2.0,B2B_Invoices_DS1,1,LOW
113.47,20,-6.369784172661871,74,695,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
74819.57,35,7.002252252252252,319,444,24.0,0,26.0,B2B_Invoices_DS1,1,HIGH
22990.16,15,0.9642857142857143,226,560,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
5595.12,15,-0.32979591836734695,420,1225,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
1264.16,35,7.002252252252252,319,444,24.0,0,22.0,B2B_Invoices_DS1,1,HIGH
3195.37,1,42.17158671586716,500,542,24.0,0,59.0,B2B_Invoices_DS1,1,CRITICAL
15804.65,15,-2.3662456946039034,500,9581,24.0,0,-4.0,B2B_Invoices_DS1,0,LOW
17520.12,15,-2.483271375464684,98,269,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
3490.87,65,0.6470588235294118,30,68,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
67110.85,10,4.205882352941177,131,170,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
96922.79,15,0.5555555555555556,35,99,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
2407.15,15,1.465648854961832,90,131,24.0,0,-1.0,B2B_Invoices_DS1,0,LOW
1897.5,15,-2.3662456946039034,500,9581,24.0,0,-1.0,B2B_Invoices_DS1,0,LOW
14232.21,15,-2.3662456946039034,500,9581,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
15925.12,15,2.8536585365853657,31,82,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
15725.29,15,0.9772727272727273,500,1144,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
7224.52,15,-2.0090909090909093,58,220,24.0,0,-3.0,B2B_Invoices_DS1,0,LOW
510.06,15,1.3306451612903225,500,1612,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
36211.47,15,-2.3662456946039034,500,9581,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
16793.1,15,-2.3662456946039034,500,9581,24.0,0,-3.0,B2B_Invoices_DS1,0,LOW
2974.01,15,-2.3662456946039034,500,9581,24.0,0,-4.0,B2B_Invoices_DS1,0,LOW
61646.9,15,-0.5316582914572864,224,995,24.0,0,-1.0,B2B_Invoices_DS1,0,LOW
52396.08,15,1.7009472259810554,473,739,24.0,0,2.0,B2B_Invoices_DS1,1,LOW
16912.8,30,42.44444444444444,18,18,24.0,0,111.0,B2B_Invoices_DS1,1,CRITICAL
245.54,65,2.319623971797885,500,851,24.0,0,-4.0,B2B_Invoices_DS1,0,LOW
16930.48,15,6.793103448275862,45,58,24.0,0,2.0,B2B_Invoices_DS1,1,LOW
14949.55,15,-2.3662456946039034,500,9581,24.0,0,-4.0,B2B_Invoices_DS1,0,LOW
29880.86,15,-2.3662456946039034,500,9581,24.0,0,-5.0,B2B_Invoices_DS1,0,LOW
2960.57,34,-6.369784172661871,74,695,24.0,0,-15.0,B2B_Invoices_DS1,0,LOW
18126.73,15,-4.989510489510489,57,286,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
72955.78,15,-2.3662456946039034,500,9581,24.0,0,-4.0,B2B_Invoices_DS1,0,LOW
20211.37,15,-0.32979591836734695,420,1225,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
58082.83,15,-2.3662456946039034,500,9581,24.0,0,-4.0,B2B_Invoices_DS1,0,LOW
100.0,15,1.3306451612903225,500,1612,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
28812.25,10,6.204225352112676,278,284,24.0,0,6.0,B2B_Invoices_DS1,1,MEDIUM
55286.67,15,-2.3662456946039034,500,9581,24.0,0,6.0,B2B_Invoices_DS1,1,MEDIUM
110103.7,15,0.3392857142857143,22,56,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
4698.17,7,-4.352760736196319,63,326,24.0,0,2.0,B2B_Invoices_DS1,1,LOW
73644.11,15,1.569023569023569,185,297,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
17741.14,15,0.4744744744744745,151,333,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
73283.45,10,6.204225352112676,278,284,24.0,0,5.0,B2B_Invoices_DS1,1,LOW
15872.12,15,-2.3662456946039034,500,9581,24.0,0,-4.0,B2B_Invoices_DS1,0,LOW
44874.28,15,-2.3662456946039034,500,9581,24.0,0,-2.0,B2B_Invoices_DS1,0,LOW
100.0,15,-2.3662456946039034,500,9581,24.0,0,3.0,B2B_Invoices_DS1,1,LOW
54614.3,15,1.49009900990099,259,404,24.0,0,3.0,B2B_Invoices_DS1,1,LOW
39409.42,15,-2.3662456946039034,500,9581,24.0,0,-4.0,B2B_Invoices_DS1,0,LOW
18913.86,10,7.585714285714285,69,70,24.0,0,4.0,B2B_Invoices_DS1,1,LOW
100.0,15,1.3306451612903225,500,1612,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
535045.04,30,-10.25,1,4,24.0,0,15.0,B2B_Invoices_DS1,1,MEDIUM
20695.38,15,-2.3662456946039034,500,9581,24.0,0,-5.0,B2B_Invoices_DS1,0,LOW
19020.02,15,0.25,1,8,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
383.64,23,-4.419354838709677,68,372,24.0,0,-8.0,B2B_Invoices_DS1,0,LOW
464.08,15,-2.588235294117647,20,68,24.0,0,13.0,B2B_Invoices_DS1,1,MEDIUM
27497.1,15,-2.3662456946039034,500,9581,24.0,0,-2.0,B2B_Invoices_DS1,0,LOW
3795.7,15,-2.3662456946039034,500,9581,24.0,0,-3.0,B2B_Invoices_DS1,0,LOW
61470.32,15,1.7027027027027026,21,37,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
100.0,23,-4.419354838709677,68,372,24.0,0,-8.0,B2B_Invoices_DS1,0,LOW
117771.0,15,0.9642857142857143,226,560,24.0,0,0.0,B2B_Invoices_DS1,0,LOW
59953.23,15,1.3738601823708207,208,329,24.0,0,-1.0,B2B_Invoices_DS1,0,LOW
71580.0,60,19.375,13,16,24.0,0,14.0,B2B_Invoices_DS1,1,MEDIUM
785.26,10,3.3125,78,96,24.0,0,3.0,B2B_Invoices_DS1,1,LOW
6127.08,1,3.78125,32,32,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
6156.93,10,4.284507042253521,269,355,24.0,0,3.0,B2B_Invoices_DS1,1,LOW
69976.62,15,-2.3662456946039034,500,9581,24.0,0,-4.0,B2B_Invoices_DS1,0,LOW
66520.4,15,0.6470588235294118,30,68,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
955.72,65,-1.6046511627906976,18,43,24.0,0,-15.0,B2B_Invoices_DS1,0,LOW
51733.48,20,0.9402985074626866,37,67,24.0,0,1.0,B2B_Invoices_DS1,1,LOW
27350.39,15,-2.3662456946039034,500,9581,24.0,0,6.0,B2B_Invoices_DS1,1,MEDIUM
