Entry Type,Invoice ID,Customer,Amount,Category,Invoice Date,Due Date,Status,Payment Terms,Previous Avg Delay Days,Previous Late Payments,Customer Tenure Months,HSN Code,GST Rate
Invoice,INV-2026-129,Thermax Energy Systems,610000,Sales Invoice,2026-08-13,2026-09-13,Pending,Net 30,7.0,1,19,8402.11,18%
Invoice,INV-2026-130,Kirloskar Brothers Engines,530000,Sales Invoice,2026-08-07,2026-09-07,Pending,Net 30,5.0,0,26,8413.70,18%
Expense,REC-2026-001,Factory Machine Operators & Shopfloor Wages,320000,Payroll & Salaries,2026-08-01,2026-08-01,Paid,Monthly,0,0,0,998511,0%
Expense,REC-2026-002,MIDC Industrial Shed Lease & Warehouse Rent,120000,Facility & Rent,2026-08-05,2026-08-05,Paid,Monthly,0,0,0,997212,18%
Expense,REC-2026-003,Industrial High-Tension Electricity Bill (MSEDCL),65000,Utilities & Power,2026-08-10,2026-08-10,Pending,Monthly,0,0,0,996911,18%
Expense,REC-2026-004,Tally Prime Cloud ERP + Zoho Subscriptions,25000,Software & SaaS,2026-08-15,2026-08-15,Paid,Monthly,0,0,0,997331,18%
Expense,REC-2026-005,CCTV & Facility Security Guard Contractor,28000,Security & Maintenance,2026-08-01,2026-08-01,Paid,Monthly,0,0,0,998525,18%
Expense,REC-2026-006,Airtel Enterprise Fiber 1Gbps Line,12000,Internet & Telecom,2026-08-12,2026-08-12,Pending,Monthly,0,0,0,998422,18%
Expense,EXP-2026-101,Prime Grade Cold Rolled Steel Coils (Batch A),180000,Raw Materials,2026-08-04,2026-08-04,Paid,Net 30,0,0,0,7209.16,18%
Expense,EXP-2026-102,Inter-state 16-Wheeler Container Freight,45000,Logistics & Freight,2026-08-10,2026-08-10,Pending,Net 15,0,0,0,996511,5%
Expense,EXP-2026-103,Hydraulic Press Calibration & Seal Servicing,35000,Equipment Maintenance,2026-08-18,2026-08-18,Pending,Net 15,0,0,0,998717,18%
Expense,EXP-2026-104,CNC Carbide Cutting Inserts & Tooling Pack,48000,Raw Materials,2026-08-08,2026-08-08,Paid,Net 30,0,0,0,8207.30,18%
Expense,EXP-2026-105,Corrugated Export Wooden Pallets & Shrink Wrap,22000,Packaging & Dispatch,2026-08-22,2026-08-22,Pending,Net 15,0,0,0,4819.10,12%
Expense,EXP-2026-106,Quarterly Statutory GST & Tax Audit Retainer,30000,Professional Fees,2026-08-15,2026-08-15,Paid,Net 30,0,0,0,998231,18%
